,author,published_at,updated_at,like_count,text
41,Cavid Isayev,2023-06-01T12:34:08Z,2023-06-01T12:34:08Z,0,I think still some pro players cheating. And not detected. Sometimes I think M0nesy is hacking. His speed is inhuman sometimes. Maybe I am wrong of course but I am sure some pro players using it.
42,MondySpartan,2023-05-26T07:45:39Z,2023-05-26T07:45:39Z,0,"You cheated not only the game, but yourself.<br><br>You didn&#39;t grow.<br>You didn&#39;t improve.<br>You took a shortcut and gained nothing.<br><br>You experienced a hollow victory.<br>Nothing was risked and nothing was gained.<br><br>It&#39;s sad that you don&#39;t know the difference."
43,LP Jones,2023-05-19T19:48:03Z,2023-05-19T19:48:03Z,1,"<a href=""https://www.youtube.com/watch?v=-z-kmSF5Qxk&amp;t=2m17s"">2:17</a> to <a href=""https://www.youtube.com/watch?v=-z-kmSF5Qxk&amp;t=2m27s"">2:27</a> is legendary. “Just focus on the FOV”."
44,sTaX Relax,2023-05-19T06:14:59Z,2023-05-19T06:14:59Z,0,That&#39;s Valve&#39;s response to VAC not working
45,MADany,2023-05-18T22:35:32Z,2023-05-18T22:35:32Z,0,it&#39;s not only food that grosses game players too
46,CS:GO_MOMENT,2023-05-18T21:26:09Z,2023-05-18T21:26:09Z,0,UNLUCKY BROOO!!!
47,762459,2023-05-18T12:54:38Z,2023-05-18T12:54:38Z,2,lol pajeet
48,NUCLEO PLAYZ,2023-05-18T09:58:40Z,2023-05-18T09:58:40Z,1,Forsaken : New hack fastest headshot.<br>Shroud : Really ??
49,Viktoriya Ivanovna Serebryakov,2023-05-16T10:31:10Z,2023-05-16T10:31:55Z,0,Call is oh god of Hindu why Forsaken<br>Bin caught red handed me. Get it Forsaken 😅😅😅
50,RustyNail,2023-05-13T19:38:44Z,2023-05-13T19:38:44Z,1,Now he can go back into Call Center and Cheat there
51,Hud,2023-05-11T18:24:07Z,2023-05-11T18:24:07Z,1,"<a href=""https://www.youtube.com/watch?v=-z-kmSF5Qxk&amp;t=2m30s"">2:30</a> killing 2 people when flashed<br><br>5second later confused how the enemy can shot him behind smoke lol"
52,Mark Santiago,2023-05-10T08:24:44Z,2023-05-10T08:24:44Z,1,I think india’s gonna have a new stereotype because of this clown.
53,RAP family,2023-05-09T18:33:56Z,2023-05-09T18:33:56Z,1,Song?
54,mahămadîm zeh dwōdî vəzeh rē‘î bənwōt yərûšālāim,2023-05-07T04:59:16Z,2023-05-07T04:59:16Z,1,omg scambaiter indian
55,Hussain Raza,2023-05-07T03:09:12Z,2023-05-07T03:09:12Z,1,I THANK GOD FROM THE CORE OF MY HEART IM NOT INDIAN LMAO
56,Tit Tou,2023-05-06T14:52:36Z,2023-05-06T14:52:36Z,0,the heescareegone got me so bad :))
57,VoLtiamo,2023-05-02T18:27:37Z,2023-05-02T18:27:37Z,1,An Indian found hacking.<br><br>People: Judging the whole country on that.<br>like you guys are high or what?
58,JD,2023-04-27T06:52:17Z,2023-04-27T06:52:17Z,0,It&#39;s not even fun to cheat dude... Like there is no satisfaction in knowing where the enemies are...
59,Elite - Roblox,2023-04-24T22:51:44Z,2023-04-24T22:51:44Z,1,Fuck around and find out
60,Reza,2023-04-14T02:58:35Z,2023-04-14T02:58:35Z,0,stupid india noobs
61,Reza,2023-04-14T02:58:31Z,2023-04-14T02:58:31Z,0,stupid india noobs
62,Salman Dalvi,2023-04-09T13:46:23Z,2023-04-09T13:46:23Z,0,Pentagon hexagon hiscareergone😅😅
63,rick,2023-04-07T11:59:06Z,2023-04-07T11:59:06Z,0,I hate cheaters me who download Minecraft mod on google
64,Synical,2023-04-05T08:40:07Z,2023-04-05T08:40:07Z,0,hiscareergon LMAOOOO
65,roamer,2023-04-02T18:00:35Z,2023-04-02T18:00:35Z,1,whats the song at the end?
66,GradeY underY,2023-04-02T16:53:11Z,2023-04-02T16:53:11Z,0,back to street shitting.
67,mkDzl,2023-03-29T19:08:35Z,2023-03-29T19:08:35Z,0,Indians iq
68,Batuhan Avcı,2023-03-29T11:45:42Z,2023-03-29T11:45:42Z,0,Dumb af
69,A,2023-03-28T15:17:54Z,2023-03-28T15:17:54Z,0,Average indian hindoo == scammer/cheater/ filth
70,Aki Wong,2023-03-28T11:07:03Z,2023-03-28T11:07:03Z,0,PRXf0rsakeN ?
71,Incognitowaffle,2023-03-26T02:23:24Z,2023-03-26T02:23:24Z,0,Which version of hawa hawa is this ?
72,ケイカ異世界,2023-03-25T09:17:51Z,2023-03-25T09:17:51Z,0,不正行為は許されないけど、どうやってチートを大会まで運んだか知りたい。
73,3D SBS BEST X-TREME HD videos & gameplays,2023-03-24T09:01:03Z,2023-03-24T09:01:03Z,0,"Hacks are for noobs i always say it, im pretty sure that guy was the worst of his team 😂"
74,Mustafa Hashmi,2023-03-19T09:04:00Z,2023-03-19T09:04:00Z,2,Pretty much expected from an indian.  All they do is cheat and lie😂
75,Coding Vio,2023-03-19T07:06:13Z,2023-03-19T07:06:13Z,0,Man thought he could shift+delete his way out lol. Respect to the admins for knowing what they were doing.
76,riXon,2023-03-19T04:44:14Z,2023-03-19T04:44:14Z,0,This a*shole destroyed pc eSports for India
77,harry snotter,2023-03-18T02:37:02Z,2023-03-18T02:37:02Z,0,i watched this heaps but only just noticed how hard his chest starts breathing lmao
78,Baba Ranjit Playz,2023-03-14T14:08:19Z,2023-03-14T14:08:19Z,0,Is this SkRossi??
79,Baba Ranjit Playz,2023-03-14T14:07:32Z,2023-03-14T14:07:32Z,0,Is this SkRossi??
80,Coomer,2023-03-06T11:05:19Z,2023-03-06T11:05:19Z,1,I love how he banters like an idiot even in Pub Games and people sucking his dick like a God. 🤣
81,CooL Kid,2023-03-03T00:03:13Z,2023-03-03T00:03:13Z,1,This Ghajini cheater!!!
82,Nick Kiggers,2023-03-01T22:01:15Z,2023-03-01T22:01:15Z,4,This is why you never trust people who poop on the street.
83,Majed ماجد,2023-03-01T16:05:53Z,2023-03-01T16:05:53Z,3,He did not cheat. He just has a word virus that we can clear for 99.00$. Please call our tech support.
84,EpicPixel,2023-02-26T10:19:50Z,2023-02-26T10:19:50Z,0,My man just wanted to show his cool power slides presentation.
85,Zenin,2023-02-24T21:11:34Z,2023-02-24T21:11:34Z,3,Now the guy is representing india on global stage
86,Shiro Gaming,2023-02-24T01:37:19Z,2023-02-24T01:37:19Z,0,He tried to delete it 😂😂
87,Phantom,2023-02-15T00:36:49Z,2023-02-15T00:36:49Z,2,Indian IQ
88,BinguTOP,2023-02-14T13:31:18Z,2023-02-14T13:31:18Z,0,The way his teammate is looking at his face and not the screen that clearly says that his teammate knew about it
89,KRATOS,2023-02-12T22:29:18Z,2023-02-12T22:29:18Z,0,ye gameplay hai? aur ye professional scene me gaya tha?
90,Lidia Nanam,2023-02-06T14:50:39Z,2023-02-06T14:50:39Z,3,"The moral of the story, dont trust indians."
91,Sathish Kumar,2023-02-03T19:11:42Z,2023-02-03T19:11:42Z,0,Cs  esports never return after that
92,Massive Moon,2023-02-01T07:59:55Z,2023-02-01T07:59:55Z,0,When I see the level of the clips omg ... Why would you need to cheat lmao<br>India level is DMG at best
93,Pando-Kun,2023-01-23T05:35:49Z,2023-01-23T05:35:49Z,0,alway the indian got the ball to participate these while using hack lmao its actually asking for expose
94,Abi Karizma,2023-01-22T13:56:02Z,2023-01-22T13:56:02Z,0,Top 10 anime betrayal
95,Aivander Genesila,2023-01-18T23:23:43Z,2023-01-18T23:23:43Z,3,That&#39;s why India would never be at the top hahaha
96,Rosemary,2023-01-15T22:24:58Z,2023-01-15T22:24:58Z,3,It had to be an Indian
97,R.Reiser,2023-01-14T11:24:47Z,2023-01-14T11:24:47Z,5,indian guy scams people -- tell me something new
98,Turtle Trading,2023-01-14T09:55:31Z,2023-01-14T09:55:31Z,2,Indians cheating and scamming? Who would have thought?
99,c0nk2879,2023-01-13T12:21:52Z,2023-01-13T12:22:33Z,0,Damn I never even thought about this but it&#39;s so ironic that his name is ForsakeN 🤣🤣🤣🤣🤣 Yeah forsaken by this damn community lmao
100,Wrath of Nature,2023-01-12T18:57:22Z,2023-01-12T18:57:22Z,1,Inspired from lagaan movie hmm
101,rain dorm,2023-01-03T10:49:52Z,2023-01-03T10:49:52Z,0,Funny india * goofy laugh *
102,C⃟L⃟A⃟S⃟S⃟I⃟C⃟A⃟L⃟ O⃟R⃟I⃟G⃟I⃟N⃟A⃟L⃟,2022-12-30T20:03:22Z,2022-12-30T20:03:22Z,1,that&#39;s a real indian
103,Tushar Kshirasagar,2022-12-29T09:40:56Z,2022-12-29T09:40:56Z,0,Now he is this best Indian valo player
104,FitryJ,2022-12-29T04:51:44Z,2022-12-29T04:51:44Z,0,gurusamy balik india la
105,jfayiii,2022-12-27T15:14:13Z,2022-12-27T15:14:13Z,0,Let&#39;s see him one finger short.  Bet you he doesn&#39;t do it again.
106,Ibz,2022-12-25T05:28:19Z,2022-12-25T05:28:41Z,0,"I&#39;ve been playing cs from 1.6 days. Played source when it was leaked and at one point was probably the best player in India. Later on there were so many hackers, it was ridiculous. It&#39;s in Indian blood to cheat tbh"
107,BaizuoB,2022-12-25T00:43:33Z,2022-12-25T00:43:33Z,2,Never trust an indian
108,RelayEditz,2022-12-24T01:49:25Z,2022-12-24T01:49:25Z,0,Now he&#39;s playing valorant
109,Lil Eddy,2022-12-22T23:25:06Z,2022-12-22T23:25:06Z,3,Why is it always Indians cheating and scamming people…?
110,Tayyare Pilotu,2022-12-21T10:29:22Z,2022-12-21T10:29:22Z,0,Xantares better then him even he use hack
111,Simple,2022-12-20T06:16:10Z,2022-12-20T06:16:10Z,2,indians are always cheating and it&#39;s true
112,Choice-Flaky,2022-12-17T20:20:08Z,2022-12-17T20:20:08Z,4,Indians are always cheats in video games and scams in real life. Thats what they have been taught since childhood. In the same time they also smell bad. Bonus. All hail Indians.
113,MARKFA 91,2022-12-11T07:01:05Z,2022-12-11T07:01:05Z,0,Retrasaken
114,Keshav Nuwal,2022-12-04T17:15:18Z,2022-12-04T17:15:18Z,1,"Bhai iss lvde ko India me laane baad kutto ki tarah maarna chie tha<br>Uski video chie thi meko<br>Tb mera dil shaant hota<br>Sala bhen ka loda chirandiya, iski vajah se international me indian CSGO khtm, bhosdika sala"
115,Emily Goes Meow,2022-11-26T07:07:37Z,2022-11-26T07:07:37Z,0,"<a href=""https://www.youtube.com/watch?v=-z-kmSF5Qxk&amp;t=0m11s"">0:11</a> Rar$EX <br>At least he has a sense of humor 🤣"
116,M.I.L,2022-11-20T03:51:38Z,2022-11-20T03:51:38Z,2,that shows indians dont have capcity to handle anything especially esports theyre worse than russians usually keep griefing when they know youre not indian.
117,Gece Buluşmaları,2022-11-16T00:02:55Z,2022-11-16T00:02:55Z,0,"he movements like gold nova starting from <a href=""https://www.youtube.com/watch?v=-z-kmSF5Qxk&amp;t=1m10s"">1:10</a>"
118,Jujuba,2022-11-15T16:27:17Z,2022-11-15T16:27:17Z,0,"He didn&#39;t pay for the good stuff. If the did, he wouldn&#39;t have been found."
119,Khaled Al-sattam,2022-10-20T16:12:44Z,2022-10-20T16:12:44Z,0,I prefer everyone point their fingers at me as noob rather than cheater
120,donk qb,2022-10-18T15:48:28Z,2022-10-18T15:48:28Z,0,hahahaha
121,doop00,2022-10-14T13:08:44Z,2022-10-14T13:08:44Z,1,"I admire his desire to do something else, but he cheated so oopsie, telephone scammer next?"
122,Calm_ Game,2022-10-13T07:37:24Z,2022-10-13T07:37:24Z,0,Hiscareergon is hilarious.
123,Goblin Slayer,2022-10-04T17:57:48Z,2022-10-04T17:57:48Z,0,😂😂😂😂😂
124,Shadow YT,2022-10-01T16:43:33Z,2022-10-01T16:43:33Z,2,Disappointing moment for us Indians💔
125,GHOST 000,2022-09-27T19:25:42Z,2022-09-27T19:25:42Z,0,Cheater
126,BlackBurn,2022-09-24T16:34:58Z,2022-09-24T16:34:58Z,1,Nobody noticed that he actually deleted those files but they were recovered from the windows temp folder!
127,MrBrownie,2022-09-24T14:25:29Z,2022-09-24T14:25:29Z,1,word.exe has stopped working
128,marion o,2022-09-19T18:42:11Z,2022-09-19T18:42:11Z,4,Just tell me is there any indian who didnt cheat?
129,Vicki Sastro,2022-09-18T07:17:40Z,2022-09-18T07:17:40Z,3,I guess he really &quot;forsaken&quot; now.
130,IM BAROUD,2022-09-15T18:49:51Z,2022-09-15T18:49:51Z,1,"living in asia is a mistake, when i join any server cod4, theres always going to be indian hacker jeez"
131,berkcan güngör,2022-09-14T22:01:14Z,2022-09-14T22:01:14Z,1,fkng 40kg loser
132,14 SenG,2022-09-12T08:44:25Z,2022-09-12T08:44:25Z,2,i m proud to be indian😂🙏
133,S K,2022-09-06T02:53:39Z,2022-09-06T02:53:39Z,1,Oh look an Indian scammer. Whag a surprise
134,PUNKS BR,2022-09-04T17:53:41Z,2022-09-04T17:53:41Z,0,What a loser.
135,llooll,2022-09-04T12:10:29Z,2022-09-04T12:10:29Z,0,India legend
136,bk,2022-08-29T01:30:13Z,2022-08-29T01:30:13Z,0,He is now Forsaken by the eSport communities.
137,Sourin Basu,2022-08-28T22:46:21Z,2022-08-28T22:46:31Z,0,&quot;hiscareergon&quot; excellent meme 😂
138,Marvin Vasquez,2022-08-27T12:40:01Z,2022-08-27T12:40:01Z,0,Forsaken legend ?!? Haha lol
139,furioM8,2022-08-27T08:00:29Z,2022-08-27T08:00:29Z,0,What a loser
140,Dkdkmd Kememd,2022-08-26T02:33:11Z,2022-08-26T02:33:11Z,6,Indians and scamming . What a love story
141,Razor18,2022-08-21T02:15:29Z,2022-08-21T02:15:29Z,3,Indians never leave a place to be a creep or a scammer. 💀💀
142,andreas halomoan,2022-08-17T19:57:45Z,2022-08-17T19:57:45Z,0,"Forsaken like Anies Baswedan,  GARBAGE !!!"
143,like bruh,2022-08-17T16:39:57Z,2022-08-17T16:39:57Z,0,word.exe lol
144,My Daily Satisfaction Dose.,2022-08-13T18:51:00Z,2022-08-13T18:51:00Z,0,India is a nation of pro scammers ❤️
145,Maria Sam,2022-08-13T15:28:16Z,2022-08-13T15:28:16Z,0,Guess he&#39;s now forsaken by his team
146,poch vincent oporto,2022-08-11T18:31:51Z,2022-08-11T18:31:51Z,0,"India has call centers full of scammer, so this cheating india is not a big shock 😂"
147,Ananass,2022-08-10T10:18:05Z,2022-08-10T10:18:05Z,0,rip bozo got caught
148,Diego RZ,2022-08-06T00:32:53Z,2022-08-06T00:32:53Z,1,All this fuckers ruins games!!
149,Lee Wendy,2022-08-03T14:55:34Z,2022-08-03T14:55:34Z,0,"<a href=""about:invalid#zCSafez""></a>Let me break it down the life of every woman, girl or lady is really crazy, we fall in love, we get too busy with work and taking care of the kids and family our lover, we even lose our family and friends because some of our family and friends think we are crazy, too ambitious or probably too proud, lazy and stingy, sometimes we just want to be away from everything, we spend more sometimes and get fewer results, thinks a lot, always looking for a way out with our partner as friends, lovers, and partner but eventually we get betrayed and cheated on, the list is endless, I think we all have to make this choice at some point so I contacted cybermicheal1995@<a href=""http://gmail.com/"">gmail.com</a> and WhatsApp on +18722250930<br>He help me hacked my cheating husband phone without him knowing and got all the evidences I needed <br>He is a great and honest hacker"
150,Lee Wendy,2022-08-03T14:55:20Z,2022-08-03T14:55:20Z,0,"<a href=""about:invalid#zCSafez""></a>Let me break it down the life of every woman, girl or lady is really crazy, we fall in love, we get too busy with work and taking care of the kids and family our lover, we even lose our family and friends because some of our family and friends think we are crazy, too ambitious or probably too proud, lazy and stingy, sometimes we just want to be away from everything, we spend more sometimes and get fewer results, thinks a lot, always looking for a way out with our partner as friends, lovers, and partner but eventually we get betrayed and cheated on, the list is endless, I think we all have to make this choice at some point so I contacted cybermicheal1995@<a href=""http://gmail.com/"">gmail.com</a> and WhatsApp on +18722250930<br>He help me hacked my cheating husband phone without him knowing and got all the evidences I needed <br>He is a great and honest hacker"
151,Lee Wendy,2022-08-03T14:55:10Z,2022-08-03T14:55:10Z,0,"<a href=""about:invalid#zCSafez""></a>Let me break it down the life of every woman, girl or lady is really crazy, we fall in love, we get too busy with work and taking care of the kids and family our lover, we even lose our family and friends because some of our family and friends think we are crazy, too ambitious or probably too proud, lazy and stingy, sometimes we just want to be away from everything, we spend more sometimes and get fewer results, thinks a lot, always looking for a way out with our partner as friends, lovers, and partner but eventually we get betrayed and cheated on, the list is endless, I think we all have to make this choice at some point so I contacted cybermicheal1995@<a href=""http://gmail.com/"">gmail.com</a> and WhatsApp on +18722250930<br>He help me hacked my cheating husband phone without him knowing and got all the evidences I needed <br>He is a great and honest hacker"
152,Dennise,2022-08-03T04:42:05Z,2022-08-03T04:42:05Z,0,Indian was paradise of cheater &amp; scammer lol
153,Joey Ebert,2022-08-03T03:00:59Z,2022-08-03T03:00:59Z,2,"Damnit Clara, it was just Clara she told him she was installing Word"
154,Gincha Dope,2022-08-01T23:37:01Z,2022-08-01T23:37:01Z,0,Dumb hinibities hindis
155,Degar Ro,2022-07-31T07:12:51Z,2022-07-31T07:12:51Z,0,I know Forsaken. He told me what happened. He said Clara put the files there.
156,JundamRX782,2022-07-30T14:09:46Z,2022-07-30T14:09:46Z,0,I can hear omg omg in Indian version
157,CHOTKA GOKU,2022-07-28T04:19:33Z,2022-07-28T04:19:33Z,0,He is a brat who want early success. 🌚
158,Marijan a,2022-07-26T23:29:12Z,2022-07-26T23:29:12Z,2,Name of song?
159,POGO_POGO,2022-07-26T12:11:17Z,2022-07-26T12:11:17Z,0,Hiscareergon 💀
160,fancy chad,2022-07-23T04:47:34Z,2022-07-23T04:47:34Z,0,If you cheat in esports. Youre a loser
161,Marcadicts,2022-07-22T17:45:00Z,2022-07-22T17:45:00Z,0,I am here for that hawa hawa edit 💯
162,Vedansh,2022-07-21T15:41:03Z,2022-07-21T15:41:03Z,0,:(
163,Strelizia Apus,2022-07-20T06:04:02Z,2022-07-20T06:04:02Z,0,Incredible Indiaaaaaaaaa
164,Nguyễn Gia Huy,2022-07-20T05:43:05Z,2022-07-20T05:43:05Z,0,In vietnam we call him &quot;phó sắc cường&quot; 🤣🤣
165,Eren T.,2022-07-19T11:51:56Z,2022-07-19T11:51:56Z,0,These people cringe and creepy asf
166,BF4pawntard,2022-07-17T11:51:57Z,2022-07-17T11:51:57Z,0,If they ain’t scamming people in call centres they are scamming the gaming world by cheating . He won’t be the last one caught as many so called pro players what ever that means are questionable. They just do t get caught
167,Edwardpro10,2022-07-12T23:21:07Z,2022-07-12T23:21:07Z,0,cheater!!!!
168,ももさん,2022-07-12T15:14:57Z,2022-07-12T15:14:57Z,0,India MORON 😂
169,Francois Julien,2022-07-06T04:40:08Z,2022-07-06T04:40:08Z,0,word.exe lol
170,Jugad Josan,2022-07-01T11:43:10Z,2022-07-01T11:43:10Z,0,So embrassing for the player  and his team mate
171,Skorge _,2022-06-26T10:23:49Z,2022-06-26T10:23:49Z,0,He just ruined csgo for Indians as well
172,Manish :),2022-06-23T17:46:32Z,2022-06-23T17:46:32Z,0,Optic me tha lol 😂😅
173,수원죽도리,2022-06-16T21:12:25Z,2022-06-16T21:12:25Z,3,Thats what Indians do best. Cheat and act as if it was their skill. Not saying that all indians are cheater but whenever I see a cheater its usually indian or chinese
174,Sai Swapnesh Parida B,2022-06-11T13:04:01Z,2022-06-11T13:04:01Z,0,Hope someone will earn this lost respect for India once again...and dominate esports globally from India
175,DeXa TV,2022-06-09T08:54:59Z,2022-06-09T08:54:59Z,0,sus forsaken
176,Ranch:),2022-06-05T12:23:57Z,2022-06-05T12:23:57Z,0,"<a href=""https://www.youtube.com/watch?v=-z-kmSF5Qxk&amp;t=0m48s"">0:48</a>"
177,BIMAL YT,2022-06-04T08:32:04Z,2022-06-04T08:32:04Z,1,Skylord ke video se kon aaya like my comments
178,Alvarez Carl,2022-05-31T13:05:09Z,2022-05-31T13:05:09Z,0,what a douche loser lol 😂 he will be FOREVER know as &quot; FORSAKEN THE CHEATER&quot; 😂😂😂😂
179,Wumi 73,2022-05-31T10:00:25Z,2022-05-31T10:00:25Z,0,indian duckfart
180,RUFF-,2022-05-29T04:06:46Z,2022-05-29T04:06:46Z,0,"In india, he is known as a &quot;Chute.&quot; or a &quot;banchote chutia&quot;"
181,EsheNePridumal,2022-05-26T21:40:53Z,2022-05-26T21:40:53Z,0,"<a href=""https://youtu.be/e0fZL1axUUU"">https://youtu.be/e0fZL1axUUU</a>"
182,zouo uoz,2022-05-26T04:18:40Z,2022-05-26T04:18:40Z,1,I was thought it is prx forsaken lol
183,Goofy Goober,2022-05-18T02:41:49Z,2022-05-18T02:41:49Z,1,forsaken or forfucksaken?
184,Likha Huto,2022-05-17T16:40:19Z,2022-05-17T16:40:19Z,0,Dumbest most idiotic player in the world
185,Akhil Rawat,2022-05-17T12:06:24Z,2022-05-17T12:06:24Z,0,Just when CSGO community was rising in India
186,Akhil Rawat,2022-05-17T12:03:55Z,2022-05-17T12:03:55Z,0,Marzil besides be like:😬
187,joshuriken,2022-05-15T22:17:09Z,2022-05-15T22:17:09Z,0,Clara what the f did you put on my computer?
188,JAY Sharma,2022-05-13T10:49:40Z,2022-05-13T10:49:40Z,1,"Using hacks in front of Chinese is like kisan ko khodna and baap ko chodna nahi sikhate.<br><br>Bonus: best hackers both white hat and black hackers are from china, russia, America"
189,osoRowdy,2022-05-12T21:54:43Z,2022-05-12T21:54:43Z,0,That whole team knew. They just thought he can hide it
190,Blender Designer,2022-05-11T13:39:14Z,2022-05-11T13:39:14Z,0,as an Indian because of this player Indian csgo team got embarrassed this guy deserves no chance in Indian gaming community because of his action
